Nivel,Largo_Patron,Aciertos,Errores,Tiempo_Reaccion,Racha,Accion_ML
5,4,2,2,3.88,-1,MANTENER
2,3,1,2,3.07,-3,BAJAR
4,3,3,0,4.11,3,SUBIR
1,3,3,0,2.49,1,MANTENER
4,2,2,0,3.54,-1,MANTENER
5,5,4,1,5.2,0,MANTENER
5,2,0,2,3.3,0,BAJAR
2,5,1,4,4.14,0,BAJAR
2,4,2,2,3.89,-1,MANTENER
2,3,2,1,3.39,3,SUBIR
1,2,1,1,2.49,2,MANTENER
4,3,0,3,4.17,3,SUBIR
5,2,0,2,4.31,0,BAJAR
3,5,2,3,4.21,-1,BAJAR
2,5,3,2,3.26,-2,MANTENER
1,3,0,3,1.91,-1,MANTENER
4,2,1,1,3.57,2,MANTENER
4,3,0,3,4.14,2,BAJAR
2,5,1,4,3.84,1,BAJAR
4,4,4,0,3.68,2,MANTENER
1,4,1,3,3.32,-2,MANTENER
2,2,0,2,2.93,-2,BAJAR
1,4,3,1,2.41,1,MANTENER
5,4,2,2,4.48,1,MANTENER
4,5,3,2,4.74,1,MANTENER
5,5,4,1,4.32,-1,MANTENER
4,5,3,2,4.68,-1,MANTENER
3,4,1,3,3.04,0,BAJAR
3,4,4,0,4.37,1,MANTENER
1,4,2,2,3.39,0,MANTENER
3,5,0,5,3.69,-2,BAJAR
4,2,2,0,2.98,-2,MANTENER
2,2,1,1,2.21,-2,MANTENER
1,4,3,1,2.59,-2,MANTENER
2,3,1,2,3.69,-3,BAJAR
4,4,1,3,3.86,2,BAJAR
4,5,4,1,4.09,-3,BAJAR
5,3,1,2,4.88,-2,BAJAR
1,2,0,2,2.08,-2,MANTENER
4,5,4,1,3.96,3,SUBIR
3,3,3,0,2.92,-3,BAJAR
4,3,2,1,3.42,2,MANTENER
4,3,0,3,3.71,0,BAJAR
2,3,3,0,3.63,3,SUBIR
3,4,4,0,4.07,3,SUBIR
4,5,5,0,4.01,2,MANTENER
3,2,1,1,3.45,2,MANTENER
3,3,2,1,3.0,0,MANTENER
1,5,5,0,2.96,-3,SUBIR
2,3,3,0,3.4,-3,BAJAR
4,4,4,0,4.66,-3,BAJAR
4,5,0,5,4.28,-3,BAJAR
4,5,3,2,4.36,2,MANTENER
1,5,5,0,2.6,-3,SUBIR
3,3,2,1,3.9,-2,MANTENER
3,3,3,0,2.83,2,MANTENER
1,5,0,5,2.88,-1,MANTENER
4,3,3,0,4.37,-2,MANTENER
5,3,0,3,4.81,0,BAJAR
2,3,1,2,3.7,-2,BAJAR
5,3,3,0,4.71,-2,MANTENER
3,2,1,1,3.4,-1,MANTENER
4,4,4,0,4.23,0,MANTENER
3,4,3,1,4.05,0,MANTENER
2,5,1,4,3.62,-2,BAJAR
5,4,1,3,3.79,-1,BAJAR
1,3,0,3,2.01,-2,MANTENER
3,4,3,1,3.34,-1,MANTENER
2,4,3,1,2.79,2,MANTENER
3,3,3,0,3.5,-2,MANTENER
1,4,4,0,2.98,1,SUBIR
5,4,4,0,4.39,0,MANTENER
1,2,1,1,2.45,-1,MANTENER
1,4,4,0,3.56,-1,MANTENER
1,5,5,0,2.76,-2,SUBIR
1,4,4,0,2.53,-1,SUBIR
3,5,3,2,4.66,0,MANTENER
1,2,0,2,2.67,1,MANTENER
2,2,1,1,2.81,-2,MANTENER
1,2,1,1,2.59,0,MANTENER
2,5,0,5,2.86,-1,BAJAR
5,4,3,1,4.16,3,SUBIR
4,3,1,2,3.66,1,BAJAR
2,4,3,1,3.96,-3,BAJAR
2,2,1,1,2.78,1,MANTENER
2,4,4,0,3.99,2,MANTENER
1,2,0,2,2.95,0,MANTENER
2,3,3,0,2.55,0,MANTENER
1,2,1,1,2.56,3,SUBIR
5,5,3,2,4.09,-1,MANTENER
2,4,1,3,3.77,0,BAJAR
1,4,4,0,2.57,1,SUBIR
2,5,2,3,3.86,-1,BAJAR
4,3,3,0,4.13,0,MANTENER
2,2,1,1,2.21,0,MANTENER
2,3,0,3,2.95,-2,BAJAR
2,5,1,4,3.55,-3,BAJAR
4,2,2,0,4.03,0,MANTENER
5,5,5,0,4.29,1,MANTENER
1,2,2,0,2.66,-2,MANTENER
2,2,1,1,2.63,3,SUBIR
4,4,4,0,4.07,3,SUBIR
5,4,3,1,4.89,-3,BAJAR
2,4,1,3,2.79,0,BAJAR
5,4,3,1,3.97,1,MANTENER
3,4,1,3,3.09,-2,BAJAR
1,4,3,1,3.37,-3,BAJAR
5,2,1,1,3.46,-2,MANTENER
2,3,3,0,3.17,3,SUBIR
2,4,1,3,3.93,-3,BAJAR
5,3,1,2,3.91,0,BAJAR
2,2,1,1,2.56,3,SUBIR
5,4,4,0,5.11,-3,BAJAR
4,5,3,2,4.15,-3,BAJAR
1,5,3,2,2.89,-2,MANTENER
1,4,0,4,2.79,3,SUBIR
3,3,2,1,3.92,-3,BAJAR
5,2,2,0,4.34,0,MANTENER
4,4,4,0,3.73,1,MANTENER
5,2,1,1,4.48,3,SUBIR
3,3,0,3,2.78,0,BAJAR
4,3,1,2,3.97,3,SUBIR
3,2,2,0,3.63,-1,MANTENER
2,5,3,2,3.86,-2,MANTENER
2,4,2,2,3.32,-3,BAJAR
5,2,0,2,3.97,-3,BAJAR
1,4,1,3,2.9,3,SUBIR
2,2,2,0,3.37,-2,MANTENER
4,5,0,5,3.94,-3,BAJAR
2,2,1,1,1.9,0,MANTENER
3,2,2,0,3.41,0,MANTENER
3,3,0,3,3.84,3,SUBIR
4,2,0,2,3.53,1,BAJAR
3,4,2,2,3.89,-3,BAJAR
5,5,5,0,4.08,-2,MANTENER
2,2,0,2,3.21,-2,BAJAR
2,2,2,0,2.37,3,SUBIR
5,4,1,3,4.44,-3,BAJAR
4,2,0,2,3.64,2,BAJAR
2,4,0,4,2.58,2,BAJAR
5,2,0,2,4.17,-3,BAJAR
2,5,3,2,3.44,3,SUBIR
2,5,3,2,2.83,-3,BAJAR
4,2,1,1,3.91,3,SUBIR
2,3,0,3,2.84,1,BAJAR
2,4,2,2,3.24,-3,BAJAR
1,3,1,2,2.76,-2,MANTENER
2,5,4,1,3.5,-1,MANTENER
3,5,0,5,3.24,-2,BAJAR
1,3,1,2,2.39,-1,MANTENER
5,4,0,4,4.23,3,SUBIR
3,3,3,0,3.24,-1,MANTENER
1,5,4,1,2.72,0,MANTENER
1,3,0,3,3.29,0,MANTENER
5,5,2,3,5.13,3,SUBIR
1,5,2,3,3.13,3,SUBIR
1,2,1,1,2.5,0,MANTENER
1,3,0,3,2.76,3,SUBIR
5,5,1,4,5.32,3,SUBIR
1,2,0,2,2.47,1,MANTENER
2,3,3,0,3.66,2,MANTENER
4,3,2,1,4.17,-2,MANTENER
3,3,0,3,4.0,-2,BAJAR
3,4,3,1,3.93,0,MANTENER
2,4,3,1,3.5,-2,MANTENER
5,2,2,0,3.31,2,MANTENER
3,2,0,2,3.66,3,SUBIR
4,5,0,5,4.88,0,BAJAR
1,5,2,3,3.84,0,MANTENER
4,4,4,0,4.14,-1,MANTENER
4,3,0,3,3.09,0,BAJAR
5,3,1,2,4.21,-2,BAJAR
4,5,1,4,4.03,1,BAJAR
3,4,3,1,4.39,1,MANTENER
5,2,1,1,4.01,-1,MANTENER
3,5,2,3,4.4,-3,BAJAR
4,4,4,0,4.26,1,MANTENER
2,2,0,2,3.37,-2,BAJAR
2,5,5,0,3.28,2,SUBIR
5,3,3,0,4.05,2,MANTENER
3,2,2,0,2.58,-1,MANTENER
3,3,2,1,3.48,2,MANTENER
3,5,3,2,4.57,2,MANTENER
4,2,2,0,3.34,2,MANTENER
3,4,3,1,3.43,0,MANTENER
5,2,1,1,3.46,-2,MANTENER
4,2,0,2,3.07,3,SUBIR
4,5,2,3,3.77,-3,BAJAR
1,3,0,3,3.15,-1,MANTENER
2,3,0,3,2.73,-3,BAJAR
3,4,4,0,3.28,3,SUBIR
3,5,4,1,3.92,-1,MANTENER
3,2,1,1,2.34,1,MANTENER
4,4,1,3,3.32,3,SUBIR
2,3,3,0,3.18,-2,MANTENER
1,2,0,2,2.45,-2,MANTENER
3,2,0,2,3.17,0,BAJAR
3,4,1,3,4.23,-1,BAJAR
5,4,2,2,4.78,0,MANTENER
4,5,2,3,4.91,3,SUBIR
2,2,0,2,2.81,-1,BAJAR
1,2,0,2,2.55,2,MANTENER
5,3,3,0,4.02,2,MANTENER
5,3,1,2,3.53,1,BAJAR
4,4,3,1,4.47,1,MANTENER
3,2,2,0,3.34,2,MANTENER
3,2,1,1,2.75,-1,MANTENER
2,2,2,0,2.29,-1,MANTENER
2,2,2,0,2.78,-3,BAJAR
5,4,1,3,4.67,1,BAJAR
2,2,1,1,2.6,-2,MANTENER
2,4,0,4,3.53,-3,BAJAR
5,4,4,0,3.72,2,MANTENER
4,3,1,2,3.25,-3,BAJAR
5,3,1,2,4.88,-1,BAJAR
2,3,0,3,2.48,0,BAJAR
2,5,5,0,3.03,1,SUBIR
5,3,0,3,4.29,-3,BAJAR
5,4,1,3,3.78,1,BAJAR
5,5,0,5,4.37,1,BAJAR
3,5,1,4,3.49,0,BAJAR
5,5,2,3,4.35,3,SUBIR
4,5,2,3,4.98,-2,BAJAR
5,3,3,0,3.5,-1,MANTENER
3,2,0,2,3.18,-3,BAJAR
5,2,0,2,4.19,1,BAJAR
3,4,1,3,2.91,0,BAJAR
1,5,3,2,3.34,-3,BAJAR
1,3,2,1,2.84,-1,MANTENER
4,3,3,0,4.08,1,MANTENER
4,3,3,0,4.25,-3,BAJAR
4,4,2,2,3.86,2,MANTENER
3,2,1,1,2.43,2,MANTENER
3,5,5,0,3.28,-2,SUBIR
4,3,1,2,4.12,3,SUBIR
4,2,2,0,2.8,1,MANTENER
4,4,3,1,4.63,3,SUBIR
3,2,1,1,2.54,1,MANTENER
3,2,2,0,2.3,3,SUBIR
1,3,3,0,2.72,3,SUBIR
2,3,1,2,3.1,-3,BAJAR
1,3,0,3,2.21,-1,MANTENER
1,3,3,0,2.37,3,SUBIR
2,3,3,0,3.33,-3,BAJAR
1,3,1,2,2.64,-3,BAJAR
5,2,0,2,3.51,-3,BAJAR
1,3,2,1,2.56,2,MANTENER
2,4,3,1,2.57,3,SUBIR
5,2,2,0,3.19,-3,BAJAR
3,3,1,2,3.86,0,BAJAR
2,4,3,1,2.65,1,MANTENER
2,3,1,2,3.4,-3,BAJAR
5,4,4,0,4.98,0,MANTENER
3,3,2,1,4.03,-2,MANTENER
1,3,0,3,2.33,1,MANTENER
5,3,1,2,4.69,-2,BAJAR
2,5,5,0,3.02,-2,SUBIR
2,3,0,3,2.25,0,BAJAR
5,4,3,1,4.17,3,SUBIR
1,2,2,0,2.15,2,MANTENER
4,2,0,2,2.75,0,BAJAR
4,4,1,3,3.43,-1,BAJAR
5,2,1,1,4.36,0,MANTENER
4,5,3,2,4.39,-2,MANTENER
1,5,5,0,3.82,3,SUBIR
1,5,3,2,2.7,2,MANTENER
2,2,2,0,2.55,-3,BAJAR
5,5,5,0,4.28,1,MANTENER
2,4,4,0,2.55,-3,SUBIR
3,2,1,1,2.62,0,MANTENER
1,5,4,1,2.66,0,MANTENER
3,5,1,4,4.09,-3,BAJAR
2,2,1,1,3.23,-3,BAJAR
5,2,2,0,3.87,0,MANTENER
4,3,3,0,3.04,-1,MANTENER
2,2,0,2,2.11,1,BAJAR
4,4,4,0,3.54,-1,MANTENER
3,3,0,3,2.91,1,BAJAR
5,2,0,2,4.07,0,BAJAR
4,2,1,1,2.72,0,MANTENER
5,2,0,2,3.41,2,BAJAR
5,4,3,1,3.88,-3,BAJAR
1,4,4,0,2.44,-1,SUBIR
1,4,0,4,3.14,-2,MANTENER
2,4,3,1,3.1,0,MANTENER
2,2,0,2,2.49,-3,BAJAR
2,4,0,4,2.72,-1,BAJAR
5,4,3,1,4.44,1,MANTENER
4,3,3,0,4.22,-1,MANTENER
2,2,0,2,2.28,-3,BAJAR
4,4,2,2,4.12,3,SUBIR
4,5,3,2,4.83,1,MANTENER
2,3,3,0,3.58,-1,MANTENER
2,3,0,3,3.59,2,BAJAR
4,2,1,1,2.73,3,SUBIR
5,4,0,4,5.03,-2,BAJAR
2,4,2,2,3.82,3,SUBIR
4,5,2,3,4.93,3,SUBIR
5,2,1,1,4.36,3,SUBIR
3,5,0,5,4.19,0,BAJAR
5,2,0,2,3.28,3,SUBIR
4,5,3,2,4.47,-3,BAJAR
1,4,0,4,2.35,-1,MANTENER
5,2,1,1,3.94,-1,MANTENER
5,5,1,4,5.12,1,BAJAR
1,4,4,0,3.02,1,SUBIR
4,4,0,4,3.62,0,BAJAR
3,3,0,3,3.7,0,BAJAR
3,3,2,1,3.02,3,SUBIR
3,2,0,2,2.73,-3,BAJAR
3,3,2,1,2.86,2,MANTENER
2,5,3,2,3.2,0,MANTENER
4,5,2,3,4.53,-1,BAJAR
5,5,2,3,4.66,-1,BAJAR
1,5,0,5,2.59,0,MANTENER
3,5,0,5,3.34,0,BAJAR
3,5,2,3,3.8,0,BAJAR
1,2,0,2,2.68,-2,MANTENER
4,2,0,2,3.66,3,SUBIR
