Nivel,Accuracy,Tiempo_Promedio,Racha,Accion
3,0.75,2.79,5,MANTENER
5,1.0,1.38,-1,MANTENER
5,0.83,1.23,1,MANTENER
4,0.0,2.24,3,BAJAR
4,0.8,2.47,4,MANTENER
1,1.0,1.34,1,MANTENER
3,1.0,1.25,1,MANTENER
4,0.8,2.14,-1,BAJAR
1,0.5,2.1,-1,BAJAR
5,0.83,1.93,1,MANTENER
2,1.0,1.49,-1,MANTENER
1,0.5,3.06,3,BAJAR
1,1.0,1.25,-1,MANTENER
3,0.5,2.5,4,BAJAR
5,0.83,1.85,3,MANTENER
3,1.0,1.41,0,MANTENER
4,1.0,1.46,1,MANTENER
4,0.6,1.93,1,MANTENER
5,0.67,2.96,-2,BAJAR
4,1.0,1.59,-2,MANTENER
4,0.6,3.04,0,MANTENER
1,0.5,2.22,-2,BAJAR
1,1.0,0.9,-2,MANTENER
3,0.5,1.43,4,BAJAR
4,0.8,3.52,2,MANTENER
4,0.8,2.44,5,MANTENER
2,0.67,1.51,5,MANTENER
5,0.83,2.16,1,MANTENER
5,1.0,1.04,3,MANTENER
2,1.0,1.11,-3,MANTENER
5,1.0,1.46,-2,MANTENER
1,0.5,2.21,1,BAJAR
1,1.0,1.35,4,SUBIR
5,1.0,1.25,2,MANTENER
3,1.0,1.41,4,SUBIR
5,1.0,1.1,2,MANTENER
4,1.0,1.01,-2,MANTENER
4,0.6,2.06,5,MANTENER
3,1.0,0.92,3,MANTENER
2,1.0,0.81,-2,MANTENER
4,1.0,0.89,-2,MANTENER
5,0.83,1.82,-1,BAJAR
3,1.0,1.5,0,MANTENER
4,0.8,2.78,-3,BAJAR
4,1.0,2.35,5,MANTENER
4,1.0,1.11,0,MANTENER
2,1.0,1.02,-2,MANTENER
3,1.0,1.39,2,MANTENER
4,0.2,2.44,-2,BAJAR
4,0.8,2.11,-2,BAJAR
5,1.0,1.27,-2,MANTENER
4,0.2,2.57,2,BAJAR
2,1.0,1.12,1,MANTENER
5,0.67,2.61,3,MANTENER
4,1.0,1.48,2,MANTENER
2,0.33,2.13,-3,BAJAR
4,0.8,1.45,1,MANTENER
3,0.75,1.74,-3,BAJAR
4,0.0,2.34,3,BAJAR
1,1.0,1.32,-2,MANTENER
5,1.0,1.07,1,MANTENER
4,0.6,3.31,4,MANTENER
5,1.0,0.86,1,MANTENER
1,1.0,1.57,3,SUBIR
3,1.0,0.94,-1,MANTENER
4,1.0,1.45,-3,MANTENER
5,1.0,1.41,0,MANTENER
5,0.83,2.09,0,MANTENER
3,0.5,2.43,0,BAJAR
1,1.0,0.98,2,SUBIR
5,1.0,1.16,-3,MANTENER
1,1.0,2.05,4,MANTENER
1,1.0,1.38,2,SUBIR
5,0.67,2.38,-2,BAJAR
4,0.8,2.16,5,MANTENER
1,1.0,0.81,0,MANTENER
4,1.0,1.11,-1,MANTENER
5,1.0,1.08,5,SUBIR
1,0.5,1.57,4,BAJAR
1,1.0,1.21,0,MANTENER
5,0.17,2.38,3,BAJAR
5,1.0,1.28,-1,MANTENER
1,1.0,0.88,2,SUBIR
2,1.0,2.48,0,MANTENER
1,0.0,1.99,3,BAJAR
1,0.0,1.73,0,BAJAR
2,1.0,1.07,1,MANTENER
2,1.0,1.48,-2,MANTENER
4,0.6,1.85,1,MANTENER
4,0.6,2.21,0,MANTENER
5,1.0,1.54,-1,MANTENER
3,0.75,2.7,-1,BAJAR
3,1.0,1.96,-1,MANTENER
1,0.0,2.95,1,BAJAR
3,1.0,1.42,-1,MANTENER
5,0.83,2.47,2,MANTENER
2,0.67,1.74,-2,BAJAR
4,1.0,1.2,4,SUBIR
2,1.0,1.38,3,SUBIR
3,1.0,1.11,0,MANTENER
1,1.0,1.45,2,SUBIR
5,1.0,1.46,5,MANTENER
1,0.5,2.65,1,BAJAR
1,1.0,0.98,2,SUBIR
4,1.0,1.02,4,SUBIR
5,0.5,2.08,2,BAJAR
1,1.0,1.48,-2,MANTENER
2,1.0,1.84,-1,MANTENER
5,1.0,1.6,1,MANTENER
1,1.0,0.96,0,MANTENER
5,1.0,1.2,5,SUBIR
3,0.75,2.39,4,MANTENER
4,1.0,1.39,3,MANTENER
4,0.6,1.68,0,MANTENER
3,1.0,0.89,-2,MANTENER
4,0.8,1.87,3,MANTENER
5,1.0,1.48,3,MANTENER
5,1.0,1.46,-1,MANTENER
5,1.0,1.32,0,MANTENER
5,0.83,3.94,5,MANTENER
4,0.8,2.0,1,MANTENER
4,1.0,2.14,3,MANTENER
3,1.0,1.87,2,MANTENER
5,1.0,1.33,0,MANTENER
1,1.0,1.14,2,SUBIR
3,1.0,1.48,3,MANTENER
3,1.0,0.87,-3,MANTENER
3,1.0,1.11,5,SUBIR
5,1.0,0.94,5,SUBIR
4,1.0,1.99,2,MANTENER
5,1.0,0.86,0,MANTENER
5,0.83,3.17,-2,BAJAR
2,1.0,0.92,1,MANTENER
3,0.5,2.03,-3,BAJAR
5,0.83,3.12,3,MANTENER
1,1.0,1.46,-2,MANTENER
2,1.0,0.98,1,MANTENER
3,1.0,1.39,1,MANTENER
3,1.0,1.4,-2,MANTENER
5,1.0,1.15,-2,MANTENER
5,1.0,0.92,2,MANTENER
3,0.5,2.35,5,BAJAR
2,1.0,1.4,0,MANTENER
1,0.0,1.66,-2,BAJAR
3,1.0,1.46,-3,MANTENER
2,0.67,2.13,2,MANTENER
3,1.0,1.37,-1,MANTENER
5,1.0,1.49,2,MANTENER
4,0.8,2.56,-2,BAJAR
3,1.0,1.52,2,MANTENER
4,0.8,3.61,3,MANTENER
3,1.0,0.98,2,MANTENER
3,0.25,2.2,-2,BAJAR
5,1.0,2.05,2,MANTENER
2,1.0,1.22,1,MANTENER
3,1.0,1.36,-3,MANTENER
5,1.0,1.45,0,MANTENER
2,1.0,1.02,4,SUBIR
1,0.5,2.46,5,BAJAR
3,0.75,2.65,2,MANTENER
3,0.75,2.36,1,MANTENER
2,0.67,2.67,2,MANTENER
3,1.0,1.24,4,SUBIR
2,1.0,1.23,-3,MANTENER
4,0.8,1.82,-1,BAJAR
2,1.0,1.25,4,SUBIR
4,1.0,1.59,0,MANTENER
4,1.0,1.33,-2,MANTENER
3,1.0,1.31,3,MANTENER
5,1.0,1.18,-3,MANTENER
1,1.0,1.14,1,MANTENER
4,1.0,1.42,2,MANTENER
5,0.83,1.37,-1,BAJAR
1,1.0,2.39,-3,MANTENER
2,0.67,2.35,2,MANTENER
1,1.0,2.41,4,MANTENER
3,0.75,2.39,5,MANTENER
1,1.0,2.3,3,MANTENER
1,0.5,2.59,0,BAJAR
4,1.0,1.5,2,MANTENER
1,0.5,1.85,5,BAJAR
4,1.0,1.22,2,MANTENER
4,0.8,1.9,5,MANTENER
4,0.6,2.65,0,MANTENER
5,0.83,1.93,2,MANTENER
5,0.83,2.84,1,MANTENER
2,0.67,2.73,-2,BAJAR
1,1.0,1.47,-1,MANTENER
1,1.0,1.34,-2,MANTENER
1,0.0,2.45,-1,BAJAR
5,1.0,0.99,3,MANTENER
1,1.0,0.86,1,MANTENER
4,0.2,1.98,0,BAJAR
5,1.0,1.43,-1,MANTENER
5,0.83,1.76,3,MANTENER
3,1.0,1.53,-3,MANTENER
3,0.75,1.76,0,MANTENER
5,1.0,2.47,-1,MANTENER
4,1.0,2.45,-2,MANTENER
5,0.83,2.61,-3,BAJAR
1,1.0,1.15,2,SUBIR
1,1.0,1.49,3,SUBIR
5,1.0,1.55,4,MANTENER
1,1.0,1.0,0,MANTENER
4,1.0,2.2,4,MANTENER
1,1.0,1.12,4,SUBIR
2,0.67,1.83,0,MANTENER
3,0.5,1.37,2,BAJAR
2,0.0,2.95,-1,BAJAR
5,0.67,1.88,0,MANTENER
3,0.5,2.39,0,BAJAR
3,1.0,1.35,-1,MANTENER
4,0.8,1.48,-3,BAJAR
3,1.0,1.4,-1,MANTENER
5,0.17,1.47,2,BAJAR
2,0.67,1.73,0,MANTENER
3,0.75,1.79,5,MANTENER
3,1.0,2.12,1,MANTENER
3,1.0,0.96,-3,MANTENER
1,1.0,1.21,4,SUBIR
1,0.5,2.35,5,BAJAR
2,1.0,1.29,1,MANTENER
5,0.83,2.4,-3,BAJAR
1,0.5,1.77,-3,BAJAR
1,1.0,1.46,5,SUBIR
1,1.0,1.12,0,MANTENER
1,1.0,0.9,-1,MANTENER
1,0.5,1.89,2,BAJAR
3,0.75,2.18,1,MANTENER
1,0.5,2.11,1,BAJAR
5,1.0,1.31,-3,MANTENER
3,1.0,1.09,5,SUBIR
1,1.0,1.26,5,SUBIR
4,1.0,1.06,3,MANTENER
1,0.5,2.18,0,BAJAR
5,1.0,1.33,3,MANTENER
5,1.0,1.98,-3,MANTENER
2,1.0,1.46,5,SUBIR
4,0.8,2.26,4,MANTENER
4,0.8,2.4,4,MANTENER
5,1.0,0.88,-1,MANTENER
4,0.6,2.29,2,MANTENER
1,1.0,1.56,5,SUBIR
1,1.0,1.18,4,SUBIR
1,0.0,1.79,3,BAJAR
1,1.0,1.4,5,SUBIR
3,0.0,2.17,5,BAJAR
1,0.0,2.42,4,BAJAR
2,1.0,2.17,5,MANTENER
1,0.5,2.19,5,BAJAR
1,0.5,3.62,-1,BAJAR
1,1.0,1.46,-2,MANTENER
2,1.0,0.85,0,MANTENER
3,0.75,1.79,3,MANTENER
4,0.8,2.03,1,MANTENER
3,1.0,1.56,5,MANTENER
1,0.5,2.5,4,BAJAR
4,1.0,1.19,-1,MANTENER
2,0.67,2.43,3,MANTENER
5,1.0,1.08,-3,MANTENER
2,0.67,2.1,1,MANTENER
5,0.83,2.4,2,MANTENER
4,1.0,0.88,1,MANTENER
3,0.5,2.67,3,BAJAR
3,0.75,2.89,0,MANTENER
2,0.67,1.55,1,MANTENER
4,0.8,2.74,-2,BAJAR
3,1.0,1.08,1,MANTENER
1,1.0,1.42,3,SUBIR
3,0.5,2.02,0,BAJAR
5,1.0,1.14,-2,MANTENER
1,0.5,2.84,-2,BAJAR
1,1.0,2.44,-1,MANTENER
4,1.0,1.1,-2,MANTENER
3,0.75,2.73,4,MANTENER
1,1.0,1.45,5,SUBIR
4,1.0,1.4,4,SUBIR
1,1.0,1.32,-1,MANTENER
5,0.83,2.89,0,MANTENER
5,0.67,2.28,-1,BAJAR
2,0.67,2.24,2,MANTENER
3,1.0,1.18,2,MANTENER
4,1.0,1.14,5,SUBIR
3,1.0,0.91,-2,MANTENER
1,0.5,2.31,2,BAJAR
2,1.0,1.01,1,MANTENER
3,1.0,1.5,1,MANTENER
5,1.0,1.56,1,MANTENER
3,1.0,1.27,-1,MANTENER
2,0.67,2.79,1,MANTENER
2,0.67,1.58,1,MANTENER
3,0.75,1.55,4,MANTENER
4,1.0,1.17,-1,MANTENER
5,1.0,1.32,-2,MANTENER
5,1.0,1.14,5,SUBIR
5,1.0,1.47,4,MANTENER
3,0.75,2.51,5,MANTENER
4,0.0,2.28,2,BAJAR
3,1.0,2.26,4,MANTENER
4,0.8,1.62,3,MANTENER
4,1.0,1.06,-3,MANTENER
2,0.67,1.55,3,MANTENER
2,1.0,2.23,1,MANTENER
2,1.0,1.02,2,MANTENER
5,1.0,0.96,5,SUBIR
2,1.0,1.09,4,SUBIR
2,0.67,2.09,4,MANTENER
4,1.0,0.95,-1,MANTENER
3,0.0,2.51,-3,BAJAR
4,0.8,2.38,0,MANTENER
3,1.0,1.31,0,MANTENER
1,0.5,2.61,-3,BAJAR
2,1.0,2.42,4,MANTENER
4,0.2,2.67,4,BAJAR
3,0.75,1.77,1,MANTENER
5,0.83,1.46,0,MANTENER
4,1.0,1.55,4,MANTENER
5,1.0,0.97,3,MANTENER
1,1.0,1.56,0,MANTENER
3,1.0,1.43,5,SUBIR
1,1.0,1.11,-3,MANTENER
4,1.0,1.48,-3,MANTENER
2,1.0,1.5,0,MANTENER
1,1.0,1.24,5,SUBIR
2,0.33,2.95,-3,BAJAR
4,1.0,1.34,3,MANTENER
1,1.0,0.92,-1,MANTENER
1,1.0,1.1,4,SUBIR
3,0.75,2.16,0,MANTENER
2,0.67,1.76,3,MANTENER
4,1.0,0.93,4,SUBIR
1,1.0,0.96,0,MANTENER
4,1.0,2.13,0,MANTENER
1,1.0,1.52,-3,MANTENER
3,1.0,1.5,-3,MANTENER
4,1.0,1.46,0,MANTENER
4,1.0,1.0,1,MANTENER
2,1.0,1.02,-2,MANTENER
1,1.0,1.07,-3,MANTENER
2,1.0,0.99,3,SUBIR
4,1.0,1.43,4,MANTENER
3,0.5,2.12,3,BAJAR
3,1.0,0.92,-3,MANTENER
1,1.0,1.44,2,SUBIR
1,1.0,1.98,3,MANTENER
1,1.0,0.85,3,SUBIR
2,1.0,1.31,3,SUBIR
1,1.0,0.81,4,SUBIR
3,0.25,2.11,-3,BAJAR
5,1.0,1.55,3,MANTENER
1,0.0,1.7,-2,BAJAR
2,1.0,2.56,-2,MANTENER
5,1.0,0.96,1,MANTENER
4,1.0,1.22,3,MANTENER
1,1.0,1.4,0,MANTENER
5,1.0,1.33,5,MANTENER
1,1.0,1.14,-2,MANTENER
1,0.5,2.6,4,BAJAR
1,1.0,1.53,3,SUBIR
2,0.0,2.93,-2,BAJAR
5,1.0,1.2,-2,MANTENER
1,0.5,2.22,1,BAJAR
5,0.83,2.06,0,MANTENER
4,0.8,2.22,-3,BAJAR
3,0.75,2.7,3,MANTENER
3,0.75,2.77,-2,BAJAR
5,0.67,1.88,5,MANTENER
4,1.0,1.31,-2,MANTENER
5,1.0,0.81,-1,MANTENER
1,0.0,1.57,4,BAJAR
5,1.0,1.06,3,MANTENER
1,0.5,1.74,4,BAJAR
2,0.67,2.54,-3,BAJAR
5,1.0,0.92,-3,MANTENER
4,0.8,2.17,1,MANTENER
5,1.0,1.15,-3,MANTENER
3,1.0,0.89,5,SUBIR
3,1.0,1.85,2,MANTENER
4,0.6,1.88,2,MANTENER
2,0.0,2.26,5,BAJAR
3,1.0,1.57,1,MANTENER
3,1.0,0.93,1,MANTENER
4,0.8,2.04,5,MANTENER
2,1.0,1.3,-3,MANTENER
2,1.0,0.81,3,SUBIR
2,1.0,1.37,5,SUBIR
2,1.0,1.54,0,MANTENER
2,1.0,1.28,3,SUBIR
4,0.6,1.66,0,MANTENER
2,0.67,1.99,-1,BAJAR
4,1.0,1.04,4,SUBIR
3,0.75,2.77,-2,BAJAR
1,1.0,2.2,-1,MANTENER
4,1.0,1.06,4,SUBIR
5,0.67,2.12,3,MANTENER
5,0.83,2.79,0,MANTENER
2,0.33,2.14,-2,BAJAR
1,0.5,2.83,-2,BAJAR
2,1.0,1.26,0,MANTENER
2,0.67,2.88,-2,BAJAR
3,1.0,1.48,4,SUBIR
3,1.0,1.32,1,MANTENER
4,1.0,1.21,2,MANTENER
3,1.0,0.97,0,MANTENER
1,1.0,2.33,-1,MANTENER
1,1.0,1.4,3,SUBIR
5,1.0,1.21,4,SUBIR
3,1.0,1.13,2,MANTENER
2,1.0,1.6,0,MANTENER
5,1.0,1.18,-1,MANTENER
2,0.33,2.9,-2,BAJAR
1,1.0,0.82,-1,MANTENER
4,0.8,1.85,0,MANTENER
5,0.83,1.54,-1,BAJAR
3,1.0,0.88,-1,MANTENER
5,0.83,1.54,1,MANTENER
3,0.25,2.16,4,BAJAR
2,1.0,1.1,0,MANTENER
5,1.0,1.55,2,MANTENER
1,1.0,1.96,-3,MANTENER
3,1.0,1.48,4,SUBIR
2,1.0,1.27,3,SUBIR
1,0.5,2.25,0,BAJAR
2,1.0,1.41,-1,MANTENER
1,1.0,1.33,-2,MANTENER
5,0.67,2.56,5,MANTENER
1,1.0,1.21,-3,MANTENER
1,1.0,1.0,0,MANTENER
2,1.0,1.13,-2,MANTENER
4,1.0,1.48,-2,MANTENER
2,1.0,0.82,-2,MANTENER
1,1.0,1.02,2,SUBIR
3,0.5,2.4,5,BAJAR
3,1.0,0.9,-2,MANTENER
1,0.5,2.32,5,BAJAR
5,1.0,1.02,0,MANTENER
3,1.0,1.03,-1,MANTENER
4,1.0,1.54,1,MANTENER
3,0.75,1.95,1,MANTENER
5,0.83,2.92,-1,BAJAR
3,1.0,0.83,5,SUBIR
4,0.8,2.96,4,MANTENER
5,0.83,2.29,-2,BAJAR
4,1.0,1.16,4,SUBIR
4,1.0,1.39,4,SUBIR
1,0.5,1.83,3,BAJAR
2,0.67,2.04,5,MANTENER
2,1.0,0.89,-2,MANTENER
1,0.5,2.11,2,BAJAR
3,1.0,1.59,1,MANTENER
5,1.0,0.89,4,SUBIR
5,0.67,2.04,5,MANTENER
1,0.0,2.92,0,BAJAR
1,1.0,1.16,1,MANTENER
4,1.0,1.4,0,MANTENER
4,1.0,0.9,2,MANTENER
5,1.0,1.58,4,MANTENER
5,1.0,0.86,1,MANTENER
4,1.0,0.82,-3,MANTENER
1,1.0,0.88,2,SUBIR
2,0.67,1.45,-2,BAJAR
2,1.0,2.49,0,MANTENER
4,1.0,1.38,0,MANTENER
3,0.75,2.37,-3,BAJAR
3,0.5,1.69,-2,BAJAR
5,1.0,0.89,3,MANTENER
2,0.67,1.98,2,MANTENER
1,0.5,2.37,0,BAJAR
4,1.0,1.38,5,SUBIR
2,1.0,1.14,3,SUBIR
5,0.67,2.84,-3,BAJAR
5,0.67,1.89,-2,BAJAR
1,1.0,1.23,2,SUBIR
3,1.0,2.02,0,MANTENER
4,0.8,2.73,1,MANTENER
2,1.0,1.28,2,MANTENER
4,1.0,1.18,4,SUBIR
2,0.0,2.0,3,BAJAR
5,0.83,2.64,3,MANTENER
5,0.83,3.03,4,MANTENER
4,0.8,2.73,2,MANTENER
5,1.0,1.14,4,SUBIR
1,1.0,1.31,-1,MANTENER
1,1.0,2.1,0,MANTENER
4,0.8,1.97,1,MANTENER
4,1.0,1.45,5,MANTENER
4,1.0,2.28,3,MANTENER
5,1.0,1.6,2,MANTENER
5,1.0,1.59,4,MANTENER
3,1.0,1.1,-1,MANTENER
5,1.0,1.14,5,SUBIR
3,0.75,2.17,-3,BAJAR
5,1.0,1.39,5,MANTENER
3,0.0,2.11,-1,BAJAR
1,1.0,0.88,2,SUBIR
4,0.8,2.19,3,MANTENER
5,0.83,2.04,-3,BAJAR
3,0.75,2.36,-3,BAJAR
1,1.0,1.46,-2,MANTENER
2,0.0,1.99,1,BAJAR
3,0.0,3.67,-3,BAJAR
4,1.0,1.11,4,SUBIR
4,1.0,1.31,1,MANTENER
4,0.6,2.68,5,MANTENER
2,0.33,3.13,4,BAJAR
5,0.83,2.34,-3,BAJAR
1,0.0,1.63,3,BAJAR
5,0.67,2.56,5,MANTENER
2,1.0,0.99,5,SUBIR
5,1.0,1.6,3,MANTENER
3,1.0,1.59,1,MANTENER
2,0.67,1.84,2,MANTENER
2,1.0,1.06,3,SUBIR
2,1.0,0.9,-2,MANTENER
2,1.0,1.32,0,MANTENER
4,0.8,2.34,-2,BAJAR
3,1.0,1.19,3,MANTENER
1,1.0,0.83,-3,MANTENER
4,1.0,1.41,-2,MANTENER
3,1.0,1.41,-2,MANTENER
3,0.25,1.79,-2,BAJAR
3,0.75,1.63,1,MANTENER
1,0.5,1.67,5,BAJAR
2,1.0,1.03,-2,MANTENER
5,0.83,2.3,4,MANTENER
5,1.0,1.11,5,SUBIR
5,1.0,1.52,2,MANTENER
1,1.0,1.12,1,MANTENER
3,1.0,1.03,2,MANTENER
3,0.25,3.01,-3,BAJAR
2,1.0,1.59,-3,MANTENER
2,1.0,1.27,0,MANTENER
2,1.0,1.15,4,SUBIR
1,1.0,1.36,3,SUBIR
1,0.5,2.05,1,BAJAR
5,1.0,1.15,3,MANTENER
1,0.5,2.29,2,BAJAR
2,0.67,3.99,-2,BAJAR
3,1.0,1.0,-1,MANTENER
1,0.5,2.99,5,BAJAR
4,0.8,2.89,2,MANTENER
2,1.0,1.53,4,SUBIR
2,0.67,2.74,3,MANTENER
4,0.6,1.53,0,MANTENER
3,1.0,1.04,5,SUBIR
2,0.67,2.74,0,MANTENER
3,0.75,1.92,5,MANTENER
1,0.5,2.6,5,BAJAR
2,1.0,1.35,4,SUBIR
4,1.0,1.22,4,SUBIR
1,1.0,1.43,0,MANTENER
1,0.5,2.77,5,BAJAR
3,0.75,2.33,0,MANTENER
1,1.0,1.04,2,SUBIR
4,0.8,1.59,2,MANTENER
4,1.0,0.84,0,MANTENER
1,1.0,1.54,-2,MANTENER
5,1.0,0.83,-1,MANTENER
4,1.0,1.59,2,MANTENER
1,1.0,0.96,0,MANTENER
2,0.67,2.46,-3,BAJAR
2,0.67,2.9,4,MANTENER
4,0.0,2.18,-2,BAJAR
3,0.5,2.8,1,BAJAR
2,0.33,2.01,5,BAJAR
3,1.0,1.59,-1,MANTENER
3,0.25,2.04,0,BAJAR
2,0.67,2.58,-1,BAJAR
3,0.75,1.56,4,MANTENER
3,1.0,2.14,1,MANTENER
3,1.0,1.09,-1,MANTENER
2,1.0,1.06,1,MANTENER
4,1.0,1.53,5,MANTENER
2,1.0,1.38,4,SUBIR
4,1.0,1.2,-1,MANTENER
1,0.0,2.16,4,BAJAR
4,0.6,2.83,5,MANTENER
3,0.75,1.98,5,MANTENER
5,0.83,2.25,1,MANTENER
4,0.8,2.54,1,MANTENER
1,0.0,1.57,-3,BAJAR
1,0.5,2.75,3,BAJAR
1,0.5,3.47,-2,BAJAR
3,0.75,2.71,-1,BAJAR
1,0.5,1.82,0,BAJAR
5,0.67,1.98,1,MANTENER
3,1.0,0.97,-1,MANTENER
2,1.0,0.91,-2,MANTENER
1,0.5,1.75,2,BAJAR
3,0.75,1.61,0,MANTENER
3,0.75,2.43,-3,BAJAR
5,1.0,1.88,3,MANTENER
2,1.0,1.27,1,MANTENER
5,1.0,1.49,-3,MANTENER
1,1.0,1.19,-3,MANTENER
2,1.0,1.8,0,MANTENER
5,0.67,2.84,-2,BAJAR
2,0.0,1.88,5,BAJAR
4,1.0,1.83,1,MANTENER
4,1.0,0.89,4,SUBIR
1,1.0,1.58,4,SUBIR
2,0.67,1.98,3,MANTENER
4,1.0,1.12,2,MANTENER
4,0.2,2.17,0,BAJAR
4,1.0,1.32,0,MANTENER
4,0.8,1.89,-1,BAJAR
3,1.0,2.04,-2,MANTENER
4,0.8,2.52,-2,BAJAR
4,1.0,1.48,0,MANTENER
5,0.83,1.74,-2,BAJAR
1,0.5,1.48,0,BAJAR
2,1.0,1.07,5,SUBIR
4,0.8,1.64,3,MANTENER
4,0.6,1.56,0,MANTENER
3,0.75,1.32,1,MANTENER
4,1.0,0.88,-2,MANTENER
5,0.83,2.1,-3,BAJAR
1,1.0,1.11,2,SUBIR
4,0.8,1.61,1,MANTENER
4,1.0,1.45,3,MANTENER
2,1.0,1.46,2,MANTENER
1,1.0,1.34,2,SUBIR
3,1.0,0.98,2,MANTENER
1,1.0,1.13,-1,MANTENER
5,0.67,2.43,-2,BAJAR
5,1.0,1.06,3,MANTENER
5,1.0,1.51,5,MANTENER
2,0.67,2.69,-2,BAJAR
2,1.0,2.52,-1,MANTENER
3,0.25,2.9,3,BAJAR
3,0.75,1.81,4,MANTENER
5,0.83,2.63,3,MANTENER
5,0.83,2.23,-1,BAJAR
3,0.5,1.92,1,BAJAR
5,1.0,1.2,-2,MANTENER
1,1.0,1.35,4,SUBIR
2,0.67,2.48,0,MANTENER
5,1.0,1.42,0,MANTENER
2,1.0,0.97,2,MANTENER
1,1.0,1.49,1,MANTENER
2,0.67,2.26,4,MANTENER
3,0.5,2.54,1,BAJAR
1,0.5,2.73,3,BAJAR
1,1.0,0.99,4,SUBIR
1,1.0,1.38,2,SUBIR
4,1.0,1.29,-1,MANTENER
1,0.0,2.48,-1,BAJAR
4,1.0,1.2,1,MANTENER
3,0.75,1.87,1,MANTENER
5,1.0,1.04,2,MANTENER
4,1.0,1.08,-2,MANTENER
5,1.0,0.81,3,MANTENER
1,1.0,1.16,1,MANTENER
4,1.0,1.05,-2,MANTENER
2,0.67,1.77,3,MANTENER
1,0.5,1.53,0,BAJAR
2,0.67,1.99,5,MANTENER
5,1.0,1.55,5,MANTENER
2,0.67,1.98,-3,BAJAR
3,0.5,3.71,0,BAJAR
5,0.67,2.24,4,MANTENER
4,0.4,2.74,-2,BAJAR
1,1.0,1.21,-2,MANTENER
4,0.8,2.44,1,MANTENER
3,1.0,1.07,1,MANTENER
4,1.0,1.24,5,SUBIR
4,1.0,1.23,5,SUBIR
5,0.67,2.01,1,MANTENER
4,0.8,2.53,4,MANTENER
4,1.0,1.27,3,MANTENER
4,0.8,1.52,0,MANTENER
3,1.0,1.07,-2,MANTENER
4,0.8,1.68,5,MANTENER
2,1.0,0.96,2,MANTENER
1,1.0,0.82,0,MANTENER
4,1.0,1.55,-3,MANTENER
3,0.75,1.42,-1,BAJAR
4,0.8,1.43,0,MANTENER
2,1.0,1.04,-1,MANTENER
5,0.83,1.66,-1,BAJAR
3,1.0,1.57,4,MANTENER
2,0.67,2.23,0,MANTENER
2,1.0,1.37,0,MANTENER
3,0.0,1.79,0,BAJAR
4,0.8,1.59,-1,BAJAR
1,0.5,2.23,3,BAJAR
2,1.0,0.88,-1,MANTENER
2,1.0,2.47,-2,MANTENER
3,1.0,1.53,4,SUBIR
5,1.0,0.88,-2,MANTENER
5,1.0,0.81,1,MANTENER
5,0.83,2.24,3,MANTENER
4,1.0,1.53,-2,MANTENER
3,0.75,2.51,5,MANTENER
2,1.0,1.03,1,MANTENER
4,0.8,2.79,3,MANTENER
3,0.75,1.64,2,MANTENER
3,1.0,1.08,-1,MANTENER
1,0.5,2.51,-2,BAJAR
1,0.5,1.32,1,BAJAR
2,1.0,1.16,5,SUBIR
4,1.0,2.16,-1,MANTENER
4,1.0,0.96,0,MANTENER
1,1.0,1.13,2,SUBIR
3,1.0,1.08,3,MANTENER
4,0.8,2.13,1,MANTENER
5,0.83,1.86,3,MANTENER
3,1.0,2.12,3,MANTENER
1,1.0,1.31,5,SUBIR
5,1.0,1.3,1,MANTENER
1,0.0,1.3,2,BAJAR
3,1.0,2.23,2,MANTENER
2,1.0,1.23,2,MANTENER
1,1.0,1.33,1,MANTENER
3,1.0,0.86,5,SUBIR
4,1.0,1.49,3,MANTENER
2,1.0,1.58,2,MANTENER
4,0.8,1.84,5,MANTENER
3,0.5,2.57,2,BAJAR
4,1.0,2.14,2,MANTENER
3,1.0,1.26,1,MANTENER
4,0.8,1.87,1,MANTENER
5,0.83,1.98,4,MANTENER
5,1.0,1.55,0,MANTENER
1,0.5,2.28,2,BAJAR
2,0.67,1.84,-3,BAJAR
4,1.0,1.43,2,MANTENER
3,0.5,2.18,3,BAJAR
2,1.0,1.33,3,SUBIR
3,0.5,1.81,3,BAJAR
1,1.0,1.02,0,MANTENER
3,1.0,1.22,1,MANTENER
5,1.0,1.05,5,SUBIR
1,1.0,0.92,5,SUBIR
4,0.6,3.11,-2,BAJAR
1,1.0,0.92,3,SUBIR
2,1.0,1.43,-2,MANTENER
4,1.0,0.99,5,SUBIR
3,1.0,2.49,2,MANTENER
2,0.67,2.57,5,MANTENER
3,1.0,1.12,2,MANTENER
1,1.0,1.46,0,MANTENER
4,1.0,1.14,0,MANTENER
3,1.0,1.3,4,SUBIR
5,0.33,2.11,5,BAJAR
3,1.0,1.39,1,MANTENER
3,1.0,0.88,5,SUBIR
5,1.0,1.47,1,MANTENER
3,1.0,1.08,0,MANTENER
4,1.0,1.05,3,MANTENER
4,1.0,1.39,4,SUBIR
5,0.83,2.18,-1,BAJAR
5,1.0,1.14,1,MANTENER
1,1.0,1.35,-2,MANTENER
5,0.83,2.3,3,MANTENER
1,1.0,1.48,5,SUBIR
4,1.0,1.03,1,MANTENER
2,1.0,0.96,0,MANTENER
3,1.0,1.39,2,MANTENER
3,0.5,2.78,3,BAJAR
4,1.0,2.33,-2,MANTENER
1,1.0,0.81,-3,MANTENER
4,1.0,1.06,-3,MANTENER
